Code NAF,Raison Sociale,Groupe,Adresse,Code Postal,Ville,Tel Standard,Secteurs,Type,Observations
,EUROROL/EURODOUGH,,"ZI de l'Alouette
1494, Rue François Jacob
",62800,Lievin,+33 3 21 72 75 75,Agroalimentaire-Tabac|Industrie/,prospect ,
,EXIDE TECHNOLOGIE SAS,,,59000,Lille,+33 3 28 44 01 90,,prospect ,
4321A,EXUPRO,,"7 rue de la haie plouvier
CRT 1
",59817,LESQUIN,+33 3 20 58 44 52,,prospect ,
7311Z,FACING PUBLICITE,,"rue de gamand
CRT 1",59817,LESQUIN,+33 3 20 88 36 33,Edition-Imprimerie-Presse|Industrie/,prospect ,
2120Z,FASONUT LABORATOIRE,,"rue du fort
CRT 3",59818,LESQUIN,+33 3 20 87 66 32,,prospect ,
5321A,FAUCHE,,"rue de la Croix Bougard
",59817,LESQUIN,+33 3 20 34 44 66,,prospect ,
,FERMOBA,,"
",62400,Béthune,+33 3 21 68 09 69,Bois-Meubles|Industrie/,prospect ,
,FEUTRIE,,"2173, Rue de la Lys
62840 SAILLY SUR LA LYS
",62840,Sailly sur la Lys,+33 3 21 63 86 36,Négoce-Commerce de gros industriel|Distribution/,prospect ,
,FICHAUX INDUSTRIES,,"68 r Gustave Scrive 

",59110,La Madeleine,+33 3 20 13 33 80,Distribution|,prospect ,
,FIDELIUM,,"54 Boulevard Liberté

",59000,Lille,03 20 42 15 93,Services - Conseil|,prospect ,
,FIELD AND SOLUTIONS GROUPE TOPO,,,59665,VILLENEUVE D ASCQ,,Autres Services aux Entreprises|Services - Conseil/,prospect ,
,FINDUS FRANCE,,"17 Boulevard Bassin Napoléon
62200 Boulogne-sur-Mer",,Boulogne-sur-Mer,03 21 87 34 56,Distribution|,prospect ,
,FIVES INDUSTRIES,,1 RUE DU MONT DE TEMPLEMARS,59113,Seclin,+33 3 20 49 22 00,Industrie|,prospect ,
,"FIVES LILLE GROUP (FIVES DMS,CAIL,INDUSTRIES)",,,59472,,+33 3 20 49 22 00,Industrie|,prospect ,
,FIZZY DISTRIBUTION SAS,,ROUTE NATIONALE,59230,Sars et Rosières,+33 3 27 30 58 58,Distribution|,prospect ,
4669B,FLEURY LEGRAND,,"11 rue de la voyette
CRT 2 
BP 349",59813,LESQUIN,+33 3 20 18 01 70,Distribution spécialisée|Distribution/,prospect ,
,FLEURY MICHON,,BP1 route de la Gare ,85707,Pouzauges,+33 2 51 66 32 32,Industrie|~Hyper-Super-Grands Magasins|Distribution/,prospect ,
,FLORETTE,,Zone Actipole A2,59554,Raillencourt Sainte Olle,+33 3 27 73 67 16,Agroalimentaire-Tabac|Industrie/,prospect ,
,FLUNCH TRAITEUR (GROUPE AGAPE),,"35 Rue Denis Papin
 Parc des Près
",59650,Villeneuve d'Ascq,03 20 71 09 11,Autres Services aux Entreprises|Services - Conseil/,prospect ,
,FORBO SIEGLING,,,59160,Capinghem,+33 3 20 17 02 80,,prospect ,
,FORCLUM,,"36 Place Cormontaigne
",59000,Lille,+ 33 3 20 22 33 77,Gros œuvre|BTP - Construction/,prospect ,
7712Z,FRAINKIN,,"6 rue de la croix bougard
BP 409",59817,LESQUIN,+33 3 20 87 50 69,Location Véhicules-Divers|Services - Conseil/,prospect ,
,FRAIS EMBAL,,10 rue de la libération,59122,Hondschoote,+33 328 20 58 00,Agroalimentaire-Tabac|Industrie/,prospect ,
,FRAISNOR,,"ZI Artoipole
Avenue d'Italie
",62223,Feuchy,"+33 3 21 07 37 37 
",Agroalimentaire-Tabac|Industrie/,prospect ,
,FRANCE CARS,,10 rue de Luyot,59113,Seclin,+33 3 59 08 33 33,Location Véhicules-Divers|Services - Conseil/,prospect ,
,FRANCE EXPRESS,,"Parc du Malantois 
2 rue des Sapins",59817,LESQUIN,+33 3 20 16 17 18,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,FRANCE GOURMET,,Zone Actipole A2 59554,59554,Raillencourt Sainte Olle,+33 3 27 72 45 45,Négoce-Commerce de gros industriel|Distribution/,prospect ,
46669B,FRANS BONHOMME SA,,"23 rue du chemin vert
CRT 3
",59818,lesquin,+33 3 20 87 03 03,,prospect ,
4651Z,GAME'S - ESPACE 3,,"4 rue de la voyette
",59818,LESQUIN,+33 3 20 90 72 22,Distribution spécialisée|Distribution/,prospect ,
,GELPASS,,,59280,Armentières,+33 3 20 48 20 48,Distribution spécialisée|Distribution/,prospect ,
,GENERIX,,"6 r Moulin de Lezennes 

",59650,Villeneuve d'Ascq,+33 3 20 41 48 00,SSII|Services - Conseil/,prospect ,
,GEODIS,,7 avenue de la rotonde,59460,LOMME,0320084380,,prospect ,
5229A,GEODIS EUROMATIC,,"bd du petit quinquin
FRETIN CRT 1",59817,LESQUIN,+33 3 28 01 06 00,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,GEORGES DELBARD,,"ZA des 4 Vents
9, Avenue Antoine Pinay
",59510,Hem,+33 3 28 32 36 69,Distribution|,prospect ,
,GESWAY,,"25 rue Hergé
 ",59650,Villeneuve d'Ascq,+33 3 28 33 89 89,,prospect ,
,GFI INFORMATIQUE,,"GFI Informatique
GFI Infrastructures et Production
17, rue Édouard Delesalle
59800 Lille",,LILLE,33 (0)3 20 12 85 48,SSII|Services - Conseil/,prospect ,
,GL EVENTS,,"Route d'Irigny 
ZI Nord
 BP 40",69530,Brignais,+33 4 72 31 54 54,Services - Conseil|,prospect ,
3320C,GLE,,"2 rue du fort
CRT 3
",59818,LESQUIN,+33 3 20 77 50 10,,prospect ,
,GOLDEN EYES,,,,Villeneuve d'asq,+33 3 59 57 70 07,Marketing|Services - Conseil/,prospect ,
,GRAIN DE MALICE,,,59100,Roubaix,+33 3 20 99 60 60,Distribution|,prospect ,
,GRAINOR,,"13, BD PAUL BEZIN ",59400,Cambrai,+33 3 27 81 75 22,Négoce-Commerce de gros industriel|Distribution/,prospect ,
,GROUPE AGAPES  (SALAD AND CO),,,,villeneuve d'asq,+33 3,,prospect ,
,GROUPE BERTO NORD,,480 ruelee dufour,59850,Nieppe,03 20 44 07 77,Services - Conseil|,prospect ,
,GROUPE BIGARD,,,,,0321030313,Agroalimentaire-Tabac|Industrie/,prospect ,
,GROUPE CMH - VILLOGIA,,74 rue jean jaures,59664,Villeneuve d'ascq,+33 3 59 35 50 00,Habitation – Gestion locative|Immobilier/,prospect ,
,GROUPE NOIRET,,"4, Rue Mascara 
 


",,ROUBAIX,03 23 07 51 30,Industrie|,prospect ,
,H,,,,,+33 3 21 13 28 00,,prospect ,
,HAAGEN DAZS,,,,ARRAS,0321501919,Agroalimentaire-Tabac|Industrie/,prospect ,
,HACOT-COLOMBIER,,"94, Rue Victor Hugo ",59116,Houplines,03 20 77 86 77,Distribution|,prospect ,
4725Z,HENRI MAIRE,,"rue du pic au vent
Bât CRT espace services CRT 1",59817,LESQUIN,+ 33 3 20 90 96 73,Distribution spécialisée|Distribution/,prospect ,
,HERTA SAS,,"ZI
Route d'Ostreville
",62130,Saint Pol sur Ternoise,+33 3 21 04 19 00,Agroalimentaire-Tabac|Industrie/,prospect ,
7732Z,HERTZ EQUIPEMENT,,"15 rue du mt de terre
crt 2",59818,lesquin,+33 3 20 87 07 07,Location Véhicules-Divers|Services - Conseil/,prospect ,
,HIOLLE INDUSTRIE - ENERGIE MATRIX,,,59121,Prouvy,0327475000,,prospect ,
,HOLDER,,"344 avenue de la Marne
",59704,MARCQ EN BAROEUL,+33 3 20 78 32 32,Industrie|,prospect ,
,HOUTCH,,,02,FRESNOY LE GRABD,+33 3 23 09 34 00,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,I.C.E.A. INFORMATIQUE-CONSEIL-EQUIPEMENT-ASSISTANCE,,"54 Avenue Roger Salengro
",62223,Saint Laurent Blangy,03 21 60 57 30,Services - Conseil|,prospect ,
,ID 3COM,,"Batiment Le Jacquard
25 rue Corneille ",59100,Roubaix,+ 33 3 20 76 37 30,Services - Conseil|,prospect ,
,IDENKA,,3 rue maracci,59000,Lille,0320511523,,prospect ,
,IDGROUP,,"162 bd Fourmies 59100 ROUBAIX 


",59100,Roubaix,+33 3 28 33 99 33,Distribution spécialisée|Distribution/,prospect ,
,IKOMOBI,,5 rue Héloise,59650,Villeneuve d'Ascq,+33 3 66 72 00 90,Internet-Télécommunications|Services - Conseil/,prospect ,
,IMPRIMERIE ARTESIENNE,,"Rue François Jacob
",62800,Lievin,+33 3 21 72 78 90,Services - Conseil|,prospect ,
,IMPROVEEZE,,,,tourcoing,+33 3 66 72 13 46,,prospect ,
,IN EXTENSO,,"Parc d'Entreprises de l'Horlogerie
Rue de l'Horlogerie - BP 16",62403,betune,+33 3 21 64 70 30,Autres Services aux Entreprises|Services - Conseil/,prospect ,
,INATIS,,"200, rue de Roubaix
59200 TOURCOING",,TOURCOING,+33 3.20.68.55.00,Conseil en ingenierie,prospect ,
,INCOMM,,"17, avenue des Mondaults",33 270,FLOIRAC,0810 600 145,Services - Conseil|,prospect ,
4231B,INEO,,"18 rue de la voyette
CRT 2
BP 218",59812,LESQUIN,+33 3 20 90 42 50,Electricité-Eclairage|Industrie/,prospect ,
,INGEDIA FACILITEUR,,5 Rue Pierre de Coubertin ,59600,Maubeuge,+33 3 27 68 84 81,BTP - Construction|,prospect ,
,INGREDIA,,"51-53, Avenue Fernand Lobbedez B.P. 60946 / 62033 Arras Cedex",62033,ARRAS,+33 3 21 23 80 00,Agroalimentaire-Tabac|Industrie/,prospect ,
,INICIO,,"100 rue Lannoy
59650 Villeneuve d'Ascq
Téléphone : ",,,+33 9 51 67 46 08,SSII|Services - Conseil/,prospect ,
7150B,INSTITUT DE SOUDURE,,"rue des famards
acticentre bat J CRT 1",59818,LESQUIN,+33 3 20 96 14 54,Services - Conseil|,prospect ,
,INTER COUNTRY MANAGEMENT,,"7 ter bord des eaux - espace neptune
batiment hyppocampe",62110,Henin Beaumont,+33 3 21 13 75 20,Enseignement|Services - Conseil/,prospect ,
,J.MAES,,"92 rue constantine
",,boulogne sur mer,03 21 30 62 66,Industrie|,prospect ,
,JEAN CABY SAS,,"40 Rue Gare, ",,Saint-André-lez-Lille,03 20 40 57 00,Industrie|,prospect ,
7112B,JFC - MEGA FORTRIS FRANCE,,"rue des famards
acticentre CRT 2",59818,LESQUIN,+33 3 20 16 88 77,Emballage|Industrie/,prospect ,
,JOUVE SYSTEME INFORMATIQUE (J.S.I),,30 rue gard,62300,Lens,+33 3 21 13 45 75,Informatique – Constructeurs|Industrie/,prospect ,
4669B,JUNGHEINRICH FRANCE,,"rue du mt de Sainghin
CRT 2",59818,LESQUIN,+33 3 20 90 45 50,Mécanique-Machines Outils|Industrie/,prospect ,
,KBANE,,1 Rue Louis Constant,59491,Villeneuve d'Ascq,+33 3 61 08 56 00,Distribution spécialisée|Distribution/,prospect ,
,KIABI,,100 rue du calvaire,,,0320814956,,prospect ,
7729Z,KILOUTOU,,"rue du chemein vert
CRT 3",59818,LESQUIN,+33 3 20 90 44 60,,prospect ,
,KILOUTOU SIEGE,,"70 Avenue de Flandre 


",59700,Marcq en Baroeul,+33 3 59 56 54 00,Services - Conseil|,prospect ,
2651B,KIMO,,"rue des famrds
CRT 2
",59818,LESQUIN,+33 3 20 90 92 95,Electronique-Instrumentation|Industrie/,prospect ,
,KINGFISHER,,Parc d'Activites  ,59175,Templemars,"+33 3 20 16 75 75 
",SSII|Services - Conseil/,prospect ,
5229B,KOBA,,"2 rue de Berzin
CRT 2
BP 505",59812,LESQUIN,+33 3 20 87 09 86,,prospect ,
3312Z,KONECRANES,,"rue des famards
acticentre A CRT 2
",59818,LESQUIN,+33 3 20 18 02 80,Mécanique-Machines Outils|Industrie/,prospect ,
7022Z,KORELO,,84 Boulevard du Général Leclerc,59100,Roubaix,+33 3 20 17 63 77,Conseil|Services - Conseil/,prospect ,
,KPFI,,"122 RUE NATIONALE

",59800,Lille,+33 3 20 07 13 13,Banque - Finance - Assurance|,prospect ,
,KPMG,,,,lille,+33 3 3 20 20 65 00,,prospect ,
,LA CREQUOISE,,Rue De Saint Omer,62310,Fruges,Tél.: 0321475555,,prospect ,
,LA HALLE AU CHAUSSURES ET VETEMENTS,,28 av Flandre,75019,Paris,+33 1 44 72 30 01,Hyper-Super-Grands Magasins|Distribution/,prospect ,
,LABORATOIRES ANIOS,,"Pavé Moulin


",59260,Hellemmes Lille,+33 3 20 67 67 67,Chimie Fine-Parachimie|Industrie/,prospect ,
,LAMYLUTTI,,262 Rue Albert Calmette ,59910,Bondues,03 20 11 31 00,Industrie|,prospect ,
4520B,LAVATRANS,,"rue des sureaux
sainghin en mélantois PAM
",59818,LESQUIN,+33 3 20 54 57 72,Nettoyage industriel-Sécurité|Services - Conseil/,prospect ,
,LE BOURGET,,,02,FRESNOY LE GRAND,+33 3 23 09 33 00,Textile-Habillement-Chaussures|Industrie/,prospect ,
,LE CREUSET,,rue olivier deguyse,02230,Fresnoy le Grand,0323062222,Equipement de la Maison|Industrie/,prospect ,
,LEARNING CURVE,,,,MARCQ EN BAROEUL,0320818130,,prospect ,
,LEASECOM,,siege Paris35 quai andre citroen,75738,PARIS cedex 15,+33 1 58 01 15 15,Services - Conseil|,prospect ,
,LEBAS TECHNOLOGIES,,"1 BIS,RUE PIERRE ET MARIE CURIE 

",59260,Lezennes,+33  3 20 30 24 02,Services - Conseil|,prospect ,
,LEFEBVRE TEXTILE,,21 Rue du Luyot ,59113,Seclin,+33 3 20 62 24 24,Négoce-Commerce de gros industriel|Distribution/,prospect ,
,LEFROID PECOMARK,,"rue des famards
FRETIN CR2",59818,LESQUIN,+33 3 20 70 39 78,Distribution spécialisée|Distribution/,prospect ,
,LEMAHIEU,," 480 Avenue Mar De Lattre de Tassigny, ",,Saint-André-lez-Lille,03 20 51 62 42,,prospect ,
,LENER CORDIER,,"39 rue de Merville, BP 80059 - ",59529,,03 28 42 91 11,Industrie|,prospect ,
,LENREK INFORMATIQUE,,14 rue Arthur Lamendin,62300,Lens,+33 9 50 27 80 15 ou,SSII|Services - Conseil/,prospect ,
,LES BRASSEURS DE GAYANT,,63 Rue du Faubourg de Paris,59500,Douai,+33 3 27 93 26 22,Agroalimentaire-Tabac|Industrie/,prospect ,
,LES DELICES DES 7 VALLEES,,"436 Rue Mingoval
",62690,Aubigny en Artois,03 21 03 91 30,Industrie|,prospect ,
,LES MOULINS DE SAINT AUBERT,,,,,03 21 61 39 02 servi,,prospect ,
3312Z,LIFTMAN ASCENCEURS,,"rue des sureaux
sainghin en mélantois PAM
",59818,LESQUIN,+33 3 20 95 98 72,Maintenance industrielle|Services - Conseil/,prospect ,
,LIGARE SAS,,Rue gabirel laurelle,59880,Saint Saulve,+33 3  27 40 42 70,Industrie|,prospect ,
,LINEAL,," RUE DE FIVES
 - BP 334 ",59666,Villenueve d'asq,+33 3 20 41 40 76,Conseil|Services - Conseil/,prospect ,
,LIOT SAS,,453 Boulevard République 62232 Annezin - ,62232,Annezin,+33 5 49 86 50 21,Industrie|,prospect ,
,LJ2,,"1 bis rue de la Haie Plouvier
CRT 1",59817,LESQUIN,+33 3 20 16 98 98,VPC|Distribution/,prospect ,
8010Z,LOOMIS,,"12 rue du Mt terre
CRT 2
BP 217",59812,LESQUIN,+33 3 28 16 80 50,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,LOOTEN,,,,dunkerque,+33 3 28 29 68 67,fournitures et materiels industriels,prospect ,
4652Z,LUMIPLAN,,"rue du pic au vent
Bât. ""CRT Espace Services"" CRT1",59817,LESQUIN,+33 3 20 17 07 88,,prospect ,
,LUMIVER OPTIM,,,,seclin,0320965025,Energie-Environnement|Industrie/,prospect ,
,LYRECO,,,59770,Marly,0327236400,Distribution spécialisée|Distribution/,prospect ,
,MABEO INDUSTRIES,,,59303,VALENCIENNES,0327091750,Industrie|,prospect ,
,MACOPHARMA,,,,,0320118430,,prospect ,
,MALENGE IMPRIMERIE,,,,,0327943180,,prospect ,
,MANUTEC,,,,seclin,+33 3 20.68.16.96,,prospect ,
,MARINE HARVEST BOULOGNE,,"1, rue de Marengo 
",62200,Boulogne sur Mer,+33 21 10 67 67,Industrie|,prospect ,
,MARKETING DTC,,"
6bis rue Frédéric Mottez


",,LILLE,+33 3 20 97 97 62,ETUDE MARKETING,prospect ,
,MATCH SUPERMARCHES,,250 RUE DU GENERAL DE GAULLE,59110,La Madeleine,+33 3 20 42 63 63,Hyper-Super-Grands Magasins|Distribution/,prospect ,
,MC CAIN ALIMENTAIRE,,"Parc Entreprise Motte du Bois
",62440,Harnes,+33 3 21 08 78 35,Industrie|,prospect ,
,MECAPLAST,,,,,0321748383,,prospect ,
,MEDIA VACANCES (AKENA TECHNOLOGIES),,,,lambersart,+33 9 72 11 86 05,,prospect ,
45361Z,MGA DISTRIBUTION,,"rue du mt de terre
CRT 2",59818,LESQUIN,+33 3 20 16 04 08,Automobile-Moto-Cycles-Equipementiers|Industrie/,prospect ,
,MIERSMAN LINGERIE,,Zone commerciale Cora - 2095 Avenue de Paris ,59400,Cambrai,03 27 37 71 49,Distribution|,prospect ,
,MITSUBISHI,,CHATEAU ROUGE,,MARCQ EN BAROEUL,0328336585,,prospect ,
,MK TEL,,"17 LES PLEINS CHAMPS
",59236,Frelinghien,+33 3 20 21 93 60,telemarketing,prospect ,
,MOLINEL,,,,FRELINGHEM,+33 3 20 38 70 00,VETEMENT PROFESSIONNEL,prospect ,
,MOLNLYCKE HEALTH CARE,,"13 all Château Blanc 


",59290,Wasquehal,+33 3 20 12 25 55,Négoce-Commerce de gros industriel|Distribution/,prospect ,
,MONABANQ,,"61 avenue de Halley
",59650,Villeneuve d'Ascq,+33 3 20 28 34 34,Banque-Etablissement Financier- Crédit Bail|Banque - Finance - Assurance/,prospect ,
,MOY PARK FRANCE SAS,,712 chem Noyelles ,62110,Henin Beaumont,+33 3 21 79 66 00,AGROALIMENTAIRE,prospect ,
,MULTI COMPTA,,2 rue du priez,59800,Lille,03 28 38 92 30,Services - Conseil|,prospect ,
,NAGOT BUSIGNIESPAS INT2RESS2S,,,59482,HALLENNES LES HAUBOURDIN,0320509554,Distribution spécialisée|Distribution/,prospect ,
,NATURALPHA,,85 bis rue Nelson Mandela,59120,Loos,+33 3 20 95 96 42,Pharmacie-Parapharmacie-Biotechnologies|Industrie/,prospect ,
,NESTLE,,"Chemin Voyeux
",62140,Marconnelle,03 21 90 04 44,Industrie|,prospect ,
,NESTLE FRANCE,,7 Boulevard Pierre Carle  ,77186,Noisiel,+33 8 99 23 70 34,Distribution|,prospect ,
,NESTLE PURINA,,chem Voyeux 62140 ,62140,Marconnelle,+33 3 21 90 04 44,Agroalimentaire-Tabac|Industrie/,prospect ,
,NETASQ FRANCE HEADQUARTERS,,"Parc Scientifique de la Haute borne Parc Horizon, 
Bat 6, Avenue de l'Horizon 
",59650,Villeneuve d'Ascq,+33 3 20 61 96 30,Internet-Télécommunications|Services - Conseil/,prospect ,
4646Z,NM MEDICAL,,"rue du chemin vert
crt3
BP 109",59811,LESQUIN,+33 3 20 62 55 55,VPC|Distribution/,prospect ,
,NOCEA PROPRETE,,"8 Rue du Frenelet
",59650,Villeneuve d'Ascq,+33 3 20 68 44 88,Nettoyage industriel-Sécurité|Services - Conseil/,prospect ,
,NORBERT DENTRESSANGLE,,CRT4 r Hauts de Sainghin ,59810,Lesquin,+33 3 20 62  18 00,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,NORD COMPO,,"7, rue de Fives
B.P. 123",59653,Villeneuve d'Ascq,+33 3 20 41 40 01,Services - Conseil|,prospect ,
,NORD NET,,"rue du fort
",59815,Lesquin,+33 3 20 86 24 75,Internet-Télécommunications|Services - Conseil/,prospect ,
,NORDS VALEURS,,"3 rue de la haie Plouvier
CRT1",59817,LESQUIN,+33 3 20 87 16 80,Transports-Fret-Messagerie Express|Services - Conseil/,prospect ,
,NORFRIGO,,,,BOULOGNE,,Agroalimentaire-Tabac|Industrie/,prospect ,
,NOVANDIE,,11 r Centre,62240,Vieil Moutier,+33 21 99 58 00,Agroalimentaire-Tabac|Industrie/,prospect ,
,OCE FRANCE,,CHATEAU ROUGE,,MARCQ EN BAROEUL,0320656350,,prospect ,
7940B,OCEA,,"impasse ferme cardon
rue de la croix bougard",59810,Lesquin,+33 3 20 48 19 05,Distribution spécialisée|Distribution/,prospect ,
,OEIL POUR OEIL,,,,,03 20 55 01 40,,prospect ,
46669A,OGE RISK,,"rue du pic au vent
bat CRT espace service CRT 1
",59817,lesquin,+33 3 20 32 46 50,,prospect ,
,OKAIDI (ID GROUP),,162 Boulevard de Fourmies,59100,Roubaix,+33 3 28 33 99 33,,prospect ,
,OLDHAM,,"RUE ORFILA 
62000 ARRAS , PAS DE CALAIS",,ARRAS,03 21 60 80 80,Industrie|,prospect ,
,OORIUM,,"OORIUM SAS
Synergie Park

11b, rue Pierre et Marie Curie
",59260,Lezennes,+33 (0) 3 20 14 90,Services - Conseil|,prospect ,
453A-Travaux d'installation électrique|45-Construction/,OPTEOR,,"124 rue des famards
CRT 2",59818,LESQUIN,+33 3 21 60 06 66,Maintenance industrielle|Services - Conseil/,prospect ,
,OSIATIS,,"24 Rue Denis Papin
",59650,Villeneuve d'Ascq,+33 28 02 53 00,SSII,prospect ,
,OUTI NORD,,"392 Rue Millonfosse

",59230,Saint Amand les Eaux,03 27 23 83 83,Industrie|,prospect ,
,OVH.COM,,2 rue kellermann,59100,Roubaix,+33 3 20 82 73 32,Informatique – Constructeurs|Industrie/,prospect ,
,OXXO MENUISERIES,,"4 rue du fort
CRT 3
",59818,LESQUIN,+33 3 20 34 03 15,,prospect ,
,PAREDES,,	9 Rue de Rotterdam,59588,BONDUES,03 20 68 86 86,,prospect ,
,PBS,,291 bd Georges Clemenceau ,59700,Marcq en Baroeul,+33 3 59 56 77 00,Marketing operationnel,prospect ,
,PC LOOS,,rue clemenceau,59120,Loos,+33 3 20 22 58 58,Chimie Fine-Parachimie|Industrie/,prospect ,
,PGI (NORDLYS SAS),,"ZI de la Blanche Maison
Avenue des Nations Unies
",59270,Bailleul,03 28 43 74 74,Industrie|,prospect ,
,PHILDAR (MABEO),,"15 av André Diligent 


",59100,Roubaix,+33 3 20 99 60 60,Centrales d’Achat|Distribution/,prospect ,
,PHONING PLUS,,114 av Foch ,59700,Marcq en Baroeul,+33 3 20 45 86 06,Marketing telephonique,prospect ,
,PICKENPACK CENTER,,Zi La Tresorerie R Jean Gutenberg ,62126,Wimille,+33 3 21 87 95 00,Agroalimentaire-Tabac|Industrie/,prospect ,
,PICTIME,,22 r Hergé 59650 VILLENEUVE D'ASCQ,,,03 28 52 05 20,E-COMMERCE,prospect ,
,PIMKIE,,,,Villeneuve d'asq,+33 3 20 23 32 32,,prospect ,
,PIXEO,,,,lille,+33 3.20.22.89.29,,prospect ,
,PLASTIC OMNIUM,,,80000,Amiens,33 (0)1 40 87 64 00,Plastique-Plasturgie-Composites|Industrie/,prospect ,
4332B,PMN,,"19 bd du petit quinquin
CRT 1",59817,LESQUIN,+33 3 20 29 85 85,Mécanique-Machines Outils|Industrie/~Distribution spécialisée|Distribution/,prospect ,
,POMONA,,"Zamin 2ème Avenue  
",59160,Lomme,+33 3 20 08 50 00,Distribution spécialisée|Distribution/,prospect ,
,POMONA PASSION FROID,,"Direction régionale de Lille 
7 rue de l'Europe 
BP 245 
",59462,,03 20 08 15 14,Distribution|,prospect ,
4674B,PPC HUCATHERMIQUE,,"rue des famards
acticentre A - FRETIN CRT 2",59818,LESQUIN,+33 3 20 88 85 41,Distribution spécialisée|Distribution/,prospect ,
4669B,PRECIA MOLEN SERVICE,,"rue des famards
FRETIN CRT 2",59818,LESQUIN,+33 3 20 87 06 16,Mécanique-Machines Outils|Industrie/,prospect ,
,PRESTIMEDIA,,"276 Avenue de la Marne

",59700,Marcq en Baroeul,+33 3 20 12 08 65,Services - Conseil|,prospect ,
,PRODWARE,,,,,,,prospect ,
,PROFEL VERRANORD,,508 av. Général de Gaulle,59910,Bondues,+33 3 59 36 50 10,Equipement de la Maison|Industrie/,prospect ,
,PROFERM,,,,,0320959390,,prospect ,
,PROLAIDIS,,14 r Croix Bougart ,59810,Lesquin,+33 3 20 96 69 00,Négoce-Commerce de gros industriel|Distribution/,prospect ,
4673A,PROLAKAL,,"9 rue de Gamand
CRT 1",59817,Lesquin,+33 3 20 37 70 43,,prospect ,
,PROMESSE DE FLEURS,,,59,Houplines,0361760810,,prospect ,
,PROMOD,,"chemin Verseau 

",59700,Marcq en Baroeul,+33 3 20 01 10 00,Distribution spécialisée|Distribution/,prospect ,
2223Z,PROSERCAL,,"rue de la voyette
CRT 2",59818,LESQUIN,+33 3 20 62 17 17,,prospect ,
,PROSERVIA,,"6 Avenue Louis Néel

",59260,Lezennes,+33 3 20 06 33 44,SSII|Services - Conseil/,prospect ,
,PROUVOST,,57 rue des carliers,59200,Tourcoing,0320264065,Distribution spécialisée|Distribution/,prospect ,
,PROVOST DISTRIBUTION,,,59960,Neuville en Ferrain,0320115353,Distribution spécialisée|Distribution/,prospect ,
,PRUVOST LEROY SARL,,50 Rue Principale,62120,Saint Hilaire Cottes,+33 3 21 64 31 80,Agroalimentaire-Tabac|Industrie/,prospect ,
,QUADRA INFORMATIQUE,,"68 R DU DOCTEUR ELOY

",59133,Phalempin,+33 3 28 16 16 00,Services - Conseil|,prospect ,
,QUALICONSULT,,"1 b rue Petit Clamart
",78140,Velizy Villacoublay,+33 1 40 83 75 75,Autres Services aux Entreprises|Services - Conseil/,prospect ,
,RAMERY,,740 Rue du Bac  ,59193,Erquinghem Lys,,Génie civil-TP|BTP - Construction/,prospect ,
,REDCATS (GOUPE LA REDOUTE 3 SUISSES),,"110 Rue de Blanchemaille 
",59100,Roubaix,+33 8 99 23 70 33,,prospect ,
,REDCATS (GROUPE LA REDOUTE ET 3 SUISSES),,"57, rue de Blanchemaille",598082,Roubaix,+33 3 20 69 60 00,Textile-Habillement-Chaussures|Industrie/~Distribution|,prospect ,
4649Z,REGULA INDUSTRIES,,"13 rue des famards
CRT 2
",59818,LESQUIN,+33 3 20 16 06 06,Distribution spécialisée|Distribution/,prospect ,
4250A,RENAULT TRUKS SIEGE ARRAS,,"Allée du Portugal - 
ZA Artoispole 
",62118,MONCHY LE PREUX,+33 3 21 23 47 45,Automobile-Moto-Cycles-Equipementiers|Industrie/,prospect ,
,RENOLD BRAMPTON,,"ZI A - rue de la pointe
BP 90359",59473,SECLIN,+33 3 20 16 29 17,Mécanique-Machines Outils|Industrie/,prospect ,
,RENTOKIL,,"4 rue de berzin
FRETIN CRT 2",59818,LESQUIN,+33 3 20 16 24 20,Autres services aux Particuliers|Services - Conseil/~Autres Services aux Entreprises|Services - Conseil/,prospect ,
,REPROCOLOR,,,59021,LILLE,0320298789,Distribution spécialisée|Distribution/~Edition-Imprimerie-Presse|Industrie/,prospect ,
,RESIDENCE ART CONCEPT,,,,bailleul,0328401010,Promoteur Immobilier|Immobilier/,prospect ,
4666Z,REX ROTRAY,,"4 rue de gamand
CRT 1",59817,LESQUIN,+33 3 20 87 57 34,Autres Services aux Entreprises|Services - Conseil/,prospect ,
,RICARD SA,,"Rue de Seclin
",59175,Vendeville,+33 3 20 96 55 00,Distribution|,prospect ,
,ROGER DELATTRE,,"Z I Boulevard de la Liane 

",62360,Baincthun,+33 3 21 99 16 11,BTP - Construction|,prospect ,
,ROLAND EMBALLAGES,,101 Rue Paul Vaillant Couturier,59217,Cattenières,+33 9 71 53 12 48,Industrie|,prospect ,
,ROQUETTE FRERES,,"r Haute Loge 
",62136,Lestrem,+33 3 21 63 36 00,,prospect ,
,ROTTENDORF PHARMA,,,,valenciennes,+33 3 27 43 45 00,,prospect ,
,RPID,,Rue Kepler,62223,Saint Laurent Blangy,+33 3 21 22 80 85,Distribution|,prospect ,
